t-api$ sudo docker-compose logs opnsense-api
opnsense-management-api  | 2025-08-13 17:56:31 info: Error handling initialized
opnsense-management-api  | 2025-08-13 17:56:31 info: Starting application initialization...
opnsense-management-api  | 2025-08-13 17:56:31 info: Testing PostgreSQL connection...
opnsense-management-api  | 2025-08-13 17:56:31 info: PostgreSQL connection established successfully
opnsense-management-api  | 2025-08-13 17:56:31 info: PostgreSQL connection test successful
opnsense-management-api  | 2025-08-13 17:56:31 info: Testing Redis connection...
opnsense-management-api  | 2025-08-13 17:56:31 error: Redis connection error: {"code":"ECONNREFUSED","stack":"AggregateError [ECONNREFUSED]: \n    at internalConnectMultiple (node:net:1122:18)\n    at afterConnectMultiple (node:net:1689:7)"}
opnsense-management-api  | 2025-08-13 17:56:31 warn: Redis reconnecting...
opnsense-management-api  | 2025-08-13 17:56:31 error: Redis connection error: {"code":"ECONNREFUSED","stack":"AggregateError [ECONNREFUSED]: \n    at internalConnectMultiple (node:net:1122:18)\n    at afterConnectMultiple (node:net:1689:7)"}
opnsense-management-api  | 2025-08-13 17:56:31 warn: Redis reconnecting...
opnsense-management-api  | 2025-08-13 17:56:31 error: Redis connection error: {"code":"ECONNREFUSED","stack":"AggregateError [ECONNREFUSED]: \n    at internalConnectMultiple (node:net:1122:18)\n    at afterConnectMultiple (node:net:1689:7)"}
opnsense-management-api  | 2025-08-13 17:56:31 warn: Redis reconnecting...
opnsense-management-api  | 2025-08-13 17:56:31 error: Redis connection error: {"code":"ECONNREFUSED","stack":"AggregateError [ECONNREFUSED]: \n    at internalConnectMultiple (node:net:1122:18)\n    at afterConnectMultiple (node:net:1689:7)"}
opnsense-management-api  | 2025-08-13 17:56:31 warn: Redis reconnecting...
opnsense-management-api  | 2025-08-13 17:56:31 error: Redis connection error: {"code":"ECONNREFUSED","stack":"AggregateError [ECONNREFUSED]: \n    at internalConnectMultiple (node:net:1122:18)\n    at afterConnectMultiple (node:net:1689:7)"}
opnsense-management-api  | 2025-08-13 17:56:31 warn: Redis reconnecting...
opnsense-management-api  | 2025-08-13 17:56:31 error: Redis connection error: {"code":"ECONNREFUSED","stack":"AggregateError [ECONNREFUSED]: \n    at internalConnectMultiple (node:net:1122:18)\n    at afterConnectMultiple (node:net:1689:7)"}
opnsense-management-api  | 2025-08-13 17:56:32 warn: Redis reconnecting...
opnsense-management-api  | 2025-08-13 17:56:32 error: Redis connection error: {"code":"ECONNREFUSED","stack":"AggregateError [ECONNREFUSED]: \n    at internalConnectMultiple (node:net:1122:18)\n    at afterConnectMultiple (node:net:1689:7)"}
opnsense-management-api  | 2025-08-13 17:56:32 warn: Redis reconnecting...
